production_date,gas_sales,oil_sales,pf_fuel,vent_flare,water,field_remarks,source_file
2019-02-07,13539,476,173,27,9,"Made crew change, No visit to HI547C due to weather.",2019-02-08__Arena Partner DPR.pdf
2019-02-08,13182,478,161,28,8,"Did not visit to HI547C due to weather, C1 shut in due to sand positive choke cut 
out, Had Gulfland come out and survey the A/C & vents, Had LSL in HP separator 
last night.",2019-02-09__Arena Partner DPR.pdf
2019-02-09,11860,410,164,25,7,"Made visit to HI547C, Repaired the HP Separator oil dump valve, Found the C1 
choke cut, found 350ml sand in sand pot once it was unstopped, Did holding checks 
on the C1 tree and flowline the SSV & manual wing valve did not hold, Lined up LSS 
& parts to repair C1 tree, took OB H20 sample & sent in to New Iberia.",2019-02-10__Arena Partner DPR.pdf
2019-02-10,13249,436,163,28,7,"made3 visit to HI547C, Valve tech was stuck at WC544 due to fog loaded him on the 
MV Odyssea Valor so he can get to HI547C, Did weekly FWP test & capsule 
inspection.",2019-02-11__Arena Partner DPR.pdf
2019-02-11,12970,417,168,27,8,"Made visit to HI547C, Repaired C1 SSV, Ran pig in KAH-9010, Found a leak in the 
glycol heat exchanger.",2019-02-12__Arena Partner DPR.pdf
2019-02-13,12927,443,153,26,8,"Made visit to HI547C, Sent in glycol heat extinguisher to Burner Fire, Repaired C1 
manual wing valve, Repaired B1 Manual valve, HIS here doing annual fire fighting.",2019-02-14__Arena Partner DPR.pdf
2019-02-14,13109,426,164,27,8,"Made visit to HI 547
C, HIS finished annual fire fighting at HI 547
C, Finishing up at 
HI 547
B today.
Did some hot bolting on HP skid, Cleaned up glycol skid, Swapped to 
#2 LACT charge
pump.",2019-02-15__Arena Partner DPR.pdf
2019-02-15,13124,409,159,28,8,"No visit to HI547C due to weather, Did not take annual Toxicity due to weather 
could not fly to Beach, HIS completed annual fire fighting and ready to move to WC 
544, Did some cleaning of bolts & painting, testeb the B2 & C2.",2019-02-16__Arena Partner DPR.pdf
2019-02-16,13074,414,159,27,12,"Made visit to HI547C, HIS finished annual Fire fighting and went on boat to WC544, 
Changed out a High pressure sight glass on Filter separator. Unloaded boat.",2019-02-17__Arena Partner DPR.pdf
2019-02-17,13093,414,161,28,15,"Made visit to HI 547
C
Sent operator & boat to WC 544
Back loaded boat & took on H 20
Washed compressor skid
Did weekly capsule inspection & FWP test
Did emergency drill.",2019-02-18__Arena Partner DPR.pdf
2019-02-18,12662,418,154,26,19,"No visit to HI 547
C due to weather, Did position control register for HI 547
B, 
Received waiver for LACT proving Panther will reschedule, had LSL in Filter 
separator got platform right back on.",2019-02-19__Arena Partner DPR.pdf
2019-02-19,12657,419,158,27,15,"No visit to HI 547
C due to weather.cleaned chemical skid, Cleaned up for crew 
change.",2019-02-20__Arena Partner DPR.pdf
2019-02-20,12172,387,163,26,15,"No visit to HI547C due to weather, HI547C test separator diverted due to LSH, 
Unloaded AMI off boat & heat exchanger for glycol unit.",2019-02-21__Arena Partner DPR.pdf
2019-02-21,12642,397,167,22,16,"Made Crew Change by boat late yesterday due to weather .  unable to make visit to 
C-platform due to weather . lined up glycol contactor with new heat exchanger on 
glycol unit .",2019-02-22__Arena Partner DPR.pdf
2019-02-22,12976,432,179,25,16,"unable to make visit due to weather . AMI finished up B-platform turbine swap and 
meter calibration . C-platform hasn't been done yet due to weather.",2019-02-23__Arena Partner DPR.pdf
2019-02-23,12904,426,186,23,16,"unable to visit C-Platform due to weather . AMI on location waiting on flight to 
complete Meter calibration and turbine swap at C-Platform",2019-02-24__Arena Partner DPR.pdf
2019-02-24,12905,448,195,23,16,"made visit to C-platform . AMI finished turbine swap at C-platform . Also cleaned 
tool building at C-Platform and put tools in proper locations and picked up trash . 
Disconnected all C-1 supply lines for SSV,SDV and hydraulics' for down hole valve 
and Chained master valve .",2019-02-25__Arena Partner DPR.pdf
2019-02-25,12832,427,178,23,16,Made visit to C-platform . linear on board working on lights throughout platform .,2019-02-26__Arena Partner DPR.pdf
2019-02-26,12711,423,187,23,15,unable to make visit to C-platform due to weather .,2019-02-27__Arena Partner DPR.pdf
2019-02-27,12674,416,180,23,15,"unable to make visit to C-Platform due to weather . offloaded WC544 personnel off 
M/V Odyssea valor late last night .",2019-02-28__Arena Partner DPR.pdf
2019-02-28,12737,408,186,23,15,Made visit to C-platform .,2019-03-01__Arena Partner DPR.pdf
2019-03-01,12886,410,179,23,15,Made visit to C-Platform .,2019-03-02__Arena Partner DPR.pdf
2019-03-02,12808,390,170,22,15,"Unable to make visit to C-platform yesterday . M/V Odyysea valor arrived and we 
worked late  offloading  groceries and supplies along with taking on water . We also 
offloaded all wiring equipment .",2019-03-03__Arena Partner DPR.pdf
